Bacteria name,Type,Significance
Escherichia coli (E. coli) Variant 1,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 2,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 3,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 4,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 5,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 6,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 7,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 8,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 9,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 10,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 11,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 12,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 13,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 14,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 15,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 16,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 17,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 18,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 19,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 20,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 21,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 22,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 23,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 24,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 25,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 26,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 27,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 28,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 29,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 30,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 31,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 32,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 33,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 34,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 35,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 36,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 37,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 38,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 39,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 40,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 41,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 42,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 43,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 44,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 45,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 46,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 47,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 48,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 49,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 50,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 51,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 52,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 53,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 54,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 55,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 56,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 57,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 58,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 59,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 60,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 61,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 62,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 63,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 64,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 65,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 66,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 67,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 68,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 69,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 70,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 71,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 72,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 73,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 74,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 75,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 76,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 77,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 78,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 79,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 80,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 81,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 82,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 83,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 84,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 85,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 86,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 87,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 88,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 89,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 90,Gram-negative bacterium,Other
Escherichia coli (E. coli) Variant 91,Gram-negative bacterium,Industrial
Bacillus subtilis Variant 92,Gram-positive bacterium,Probiotic
Streptococcus pneumoniae Variant 93,Gram-positive bacterium,Industrial
Lactobacillus acidophilus Variant 94,Gram-positive bacterium,Probiotic
Pseudomonas aeruginosa Variant 95,Gram-negative bacterium,Pathogen
Mycobacterium tuberculosis Variant 96,Acid-fast bacterium,Pathogen
Vibrio cholerae Variant 97,Gram-negative bacterium,Industrial
Clostridium botulinum Variant 98,Gram-positive bacterium,Pathogen
Salmonella enterica Variant 99,Gram-negative bacterium,Industrial
Rhizobium leguminosarum Variant 100,Gram-negative bacterium,Other
